id,name,category,rating,comment,userId,createdAt
P00123,Wireless Earbuds,Electronics,5,Amazing sound quality! Comfortable fit.,GM8Tv9KcFA,2024-12-11
P00456,Organic Coffee Beans,Grocery,4,"Lifesaver! Small and powerful, charges quickly.",uXbpvEYVtX,2024-12-05
P00789,Cotton T-Shirt,Clothing,3,Beautiful and durable. Love the sustainable bamboo.,YVCZz4KNua,2024-12-12
P00102,Portable Charger,Electronics,5,"Smells great, leaves hair feeling clean and soft.",B3TbF6hoFj,2024-12-15
P00135,Running Shoes,Shoes,4,"Easy to use, connects seamlessly to my computer.",5OQVKCnUan,2024-12-07
P00168,Bamboo Cutting Board,Kitchen,5,"Fantastic! The sound is crystal clear, and the fit is perfect.",DtsS9yrJmq,2024-12-04
P00191,Digital Camera,Electronics,3,"Perfect! Rich flavor, fresh aroma—worth every penny!",QDxZLYAdjK,2024-12-01
P00214,Organic Shampoo,Beauty,4,"Excellent running shoes! Perfect fit, great support, and very durable.",aL4vjFWnIU,2024-12-11
P00123,Wireless Earbuds,Electronics,5,Beautiful and super sturdy—my favorite kitchen purchase!,KPtx0LMY6K,2024-12-04
P00260,Board Game,Games,4,Lovely scent and works well for my hair type.,YMEYSYc15T,2024-12-13
P00123,Wireless Earbuds,Electronics,1,"Terrible! The sound keeps cutting out, and the battery life is awful.",wnvUwv8Mre,2024-12-03
P00123,Wireless Earbuds,Electronics,2,"Poor quality fabric, ripped after one wash.",p5yH6ryolS,2024-12-05
P00123,Wireless Earbuds,Electronics,3,"The fit is off, and it faded quickly after washing.",bTOamlqSow,2024-12-06
P00123,Wireless Earbuds,Electronics,4,Stopped working after just one week—total waste of money!,sTDrHNHlMK,2024-12-02
P00123,Wireless Earbuds,Electronics,5,Charges slowly and gets very hot.,qFEWC9IgJU,2024-12-10
P00456,Organic Coffee Beans,Grocery,3,"The design isn’t ergonomic, and it feels cheap.",XZXLplUB7x,2024-12-12
P00456,Organic Coffee Beans,Grocery,4,"Works fine, but the clicks are louder than I’d like.",oZbCfshcev,2024-12-15
P00456,Organic Coffee Beans,Grocery,5,"The sound is okay, but they’re uncomfortable to wear for more than an hour.",NwI74NhJkE,2024-12-05
P00789,Cotton T-Shirt,Clothing,1,"Decent sound quality, but the connectivity isn’t very reliable.",ApSmcAdPDy,2024-12-14
P00789,Cotton T-Shirt,Clothing,2,"Okay product, but there are better shampoos for the price.",Aqe2UTM9wE,2024-12-12
P00102,Portable Charger,Electronics,1,"Good flavor, but a bit pricey.",spnv88yGjI,2024-12-04
P00102,Portable Charger,Electronics,2,"Comfortable, but shrank slightly in the wash.",yuKwaHW8Kk,2024-12-04
P00102,Portable Charger,Electronics,3,"Comfortable, but could provide more support.",lCWiQ8vsoJ,2024-12-08
P00135,Running Shoes,Shoes,4,"Takes good pictures, but battery life could be better.",KLWPKF6VEx,2024-12-03
P00135,Running Shoes,Shoes,5,"Fun to play with friends, can be a bit challenging.",bY4DQnF2pb,2024-12-11
P00168,Bamboo Cutting Board,Kitchen,3,"Great overall, just wish the case was a bit sturdier.",V7EEeKgity,2024-12-11
P00168,Bamboo Cutting Board,Kitchen,4,"Average taste, not very aromatic compared to other organic brands.",qLMMkY9NOn,2024-12-11
P00168,Bamboo Cutting Board,Kitchen,5,"Really smooth flavor, but it’s a bit overpriced.",5sDvew62Ca,2024-12-04
P00191,Digital Camera,Electronics,3,"Looks nice, but it’s smaller than expected.",i186nlrNit,2024-12-05
P00191,Digital Camera,Electronics,4,"Decent pictures, but the controls are hard to figure out.",Na3lMVQ3OQ,2024-12-04
P00214,Organic Shampoo,Beauty,3,"Good image quality, though the battery could last longer.",x52eHiB2Wq,2024-12-13
P00214,Organic Shampoo,Beauty,4,"Smooth and responsive, but it’s a bit small for my hands.",dFL9642Owf,2024-12-01
P00789,Wireless Mouse,Electronics,2,"Comfortable and lightweight, though the arch support could be better.",CGRKJHebzK,2024-12-02
P00789,Wireless Mouse,Electronics,3,"Great quality and eco-friendly, though it could be thicker.",r9NsVnddnz,2024-12-15
P00789,Wireless Mouse,Electronics,4,"Works okay, but it’s bulkier than I expected.",zzPnPM7s6Q,2024-12-11
