id,name,category,rating,comment,userId,createdAt,sentiment,confidence,sentiment_score
P00260,Board Game,Games,1,Very boring and overly complicated—nobody enjoyed it.,92kiZtoVxD,2024-12-11,NEGATIVE,0.9996950626373291,-1.0
P00260,Board Game,Games,2,"Too many rules, and it takes forever to finish a game.",umjFRRB893,2024-12-04,NEGATIVE,0.9995749592781067,-1.0
P00260,Board Game,Games,3,"Fun for a while, but it gets repetitive quickly.",LuVCrkJOKQ,2024-12-06,NEGATIVE,0.9995471835136414,-1.0
P00260,Board Game,Games,4,"Engaging and challenging, great for family game nights.",9mCX4BVkbI,2024-12-18,POSITIVE,0.9998835325241089,1.0
P00260,Board Game,Games,5,Amazing game! Keeps everyone entertained for hours.,08BgCj8kI6,2024-12-08,POSITIVE,0.9998860359191895,1.0
P00123,Wireless Earbuds,Electronics,1,"Terrible product! Constant connection issues, poor sound quality, and they stopped working after just a week.",A8Q0r3LSro,2024-12-26,NEGATIVE,0.999798595905304,-1.0
P00123,Wireless Earbuds,Electronics,2,"Uncomfortable and unreliable. The sound cuts out constantly, and the battery drains incredibly fast.",Ee8CNIIKRy,2024-12-11,NEGATIVE,0.9993928670883179,-1.0
P00123,Wireless Earbuds,Electronics,3,"The sound is decent, but the connectivity could be better.",YUZw9sy20C,2024-12-13,POSITIVE,0.8302527666091919,1.0
P00456,Organic Coffee Beans,Grocery,4,"Really smooth flavor, nice aroma, and consistent quality.",pELF8ty8v1,2024-12-22,POSITIVE,0.9998801946640015,1.0
P00456,Organic Coffee Beans,Grocery,5,"Absolutely fantastic coffee! Rich, full-bodied, and perfect every single time.",hcDeBIfRXd,2024-12-22,POSITIVE,0.9998866319656372,1.0
P00456,Organic Coffee Beans,Grocery,5,Best organic coffee I've ever tried. Worth every penny!,pwkNn8ueCC,2024-12-14,POSITIVE,0.9997736811637878,1.0
P00789,Cotton T-Shirt,Clothing,1,Fabric feels cheap and ripped after one wash.,yYsibpNaBU,2024-12-04,NEGATIVE,0.9994957447052002,-1.0
P00789,Cotton T-Shirt,Clothing,2,"The fit isn’t great, and it fades after a few washes.",r0pgj8uLSa,2024-12-17,NEGATIVE,0.9996763467788696,-1.0
P00789,Cotton T-Shirt,Clothing,3,Shrinks easily and doesn’t feel durable.,AYVwLV6wwQ,2024-12-18,NEGATIVE,0.9998030066490173,-1.0
P00102,Portable Charger,Electronics,4,Works well as a charger and powers up devices fast.,JeVH0oRA67,2024-12-02,POSITIVE,0.9992934465408325,1.0
P00102,Portable Charger,Electronics,5,"Compact and powerful, perfect for travel.",2Fl7OulY4b,2024-12-11,POSITIVE,0.999885082244873,1.0
P00102,Portable Charger,Electronics,5,"A reliable portable charger, very practical and handy.",x3qoLk51hE,2024-12-07,POSITIVE,0.9997943043708801,1.0
P00135,Running Shoes,Shoes,4,Comfortable and lightweight for casual runs.,9mL6S4aYk4,2024-12-08,POSITIVE,0.9987286925315857,1.0
P00135,Running Shoes,Shoes,5,Great running shoes with solid support.,3CWyqdtT82,2024-12-05,POSITIVE,0.9998756647109985,1.0
P00135,Running Shoes,Shoes,5,"Feels amazing to run in, very comfortable.",knutxysegV,2024-12-04,POSITIVE,0.9998807907104492,1.0
P00168,Bamboo Cutting Board,Kitchen,1,The cutting board warped after a few uses.,vdCRsWQLDT,2024-12-08,NEGATIVE,0.9997450709342957,-1.0
P00168,Bamboo Cutting Board,Kitchen,2,"Not as durable as expected, scratches easily.",H0Ivlfm8Kq,2024-12-23,NEGATIVE,0.9995273351669312,-1.0
P00168,Bamboo Cutting Board,Kitchen,3,Gets the job done but could be better.,fAfCIxGOq8,2024-12-20,NEGATIVE,0.94911128282547,-1.0
P00191,Digital Camera,Electronics,4,Takes great pictures and has user-friendly features.,yldPNzTteW,2024-12-22,POSITIVE,0.9993093013763428,1.0
P00191,Digital Camera,Electronics,5,Exceptional image quality and a great zoom feature.,SMQnCUji7T,2024-12-13,POSITIVE,0.9998718500137329,1.0
P00191,Digital Camera,Electronics,5,"Love how professional the pictures come out, highly impressed.",0SXLnvyj9l,2024-12-05,POSITIVE,0.9998632669448853,1.0
P00214,Organic Shampoo,Beauty,1,The shampoo left my hair feeling dry and brittle.,BKXEl9tonE,2024-12-02,NEGATIVE,0.999610960483551,-1.0
P00214,Organic Shampoo,Beauty,2,"Not great for my hair type, left a sticky feeling.",l7bsselgtY,2024-12-11,NEGATIVE,0.9997672438621521,-1.0
P00214,Organic Shampoo,Beauty,3,"Expected more for the price, didn’t deliver results.",gaGt0Wi3x2,2024-12-18,NEGATIVE,0.9996829032897949,-1.0
P00789,Wireless Mouse,Electronics,4,Smooth tracking and connects seamlessly.,ODEzgPAedB,2024-12-16,POSITIVE,0.9996962547302246,1.0
P00789,Wireless Mouse,Electronics,5,"Comfortable and precise, works great for long hours.",VwekCnQkUu,2024-12-26,POSITIVE,0.9998286962509155,1.0
P00789,Wireless Mouse,Electronics,5,"One of the best mice I've used so far, love it.",yLgXituJnT,2024-12-19,POSITIVE,0.9998310804367065,1.0
P01617,Board Game,Games,2,The rules are a bit complicated to follow.,fcmXwFHOvx,2024-12-16,NEGATIVE,0.9938496947288513,-1.0
P01640,Board Game,Games,3,"The game is enjoyable, but it starts feeling repetitive after a while.",3u5SgjWuJE,2024-12-04,NEGATIVE,0.9970376491546631,-1.0
